Features;OoO-N-10;OoO-N-20;OoO-N-30;OoO-N-40;OoO-N-50;OoO-N-60;OoO-N-70;OoO-N-80;OoO-N-90;OoO-N-100;OoO-N-200;OoO-N-300;OoO-S1-10;OoO-S1-20;OoO-S1-30;OoO-S1-40;OoO-S1-50;OoO-S1-60;OoO-S1-70;OoO-S1-80;OoO-S1-90;OoO-S1-100;OoO-S1-200;OoO-S2-10;OoO-S2-20;OoO-S2-30;OoO-S2-40;OoO-S2-50;OoO-S2-60;OoO-S2-70;OoO-S2-80;OoO-S2-90;OoO-S2-100;OoO-S2-200;OoO-S2-300;OoO-S3-10;OoO-S3-20;OoO-S3-30;OoO-S3-40;OoO-S3-50;OoO-S3-60;OoO-S3-70;OoO-S3-80;OoO-S3-90;OoO-S3-100;OoO-S3-200;OoO-S3-300
system.cpu.exec_context.thread_0.statExecutedInstType::FloatMult;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::FloatMultAcc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::FloatDiv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::FloatMisc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::FloatSqrt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdAdd;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586;586
system.cpu.exec_context.thread_0.statExecutedInstType::SimdAddAcc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdAlu;1642885;2642905;3642925;4642945;5642965;6642985;7643109;8643129;9643149;10643169;20643577;30643881;1007899;2007919;3007939;4007959;5007979;6007999;7008123;8008143;9008163;10008183;20008591;1065625;2129785;3193945;4258105;5322265;6386425;7450689;8514849;9579009;10643169;21284977;36416481;7415485;8415505;9415525;10415545;11415565;12415585;13415709;9415525;15415749;16415769;26416177;36416481
system.cpu.exec_context.thread_0.statExecutedInstType::SimdCmp;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24
system.cpu.exec_context.thread_0.statExecutedInstType::SimdCvt;645968;645968;645968;645968;645968;645968;646034;646034;646034;646034;646166;646232;8012;8012;8012;8012;8012;8012;8078;8078;8078;8078;8210;66008;130448;194888;259328;323768;388208;452714;517154;581594;646034;1290566;6445832;6445568;6445568;6445568;6445568;6445568;6445568;6445634;6445568;6445634;6445634;6445766;6445832
system.cpu.exec_context.thread_0.statExecutedInstType::SimdMisc;1641038;1841038;2041038;2241038;2441038;2641038;2841168;3041168;3241168;3441168;5441428;7441558;216032;416032;616032;816032;1016032;1216032;1416162;1616162;1816162;2016162;4016422;345578;689518;1033458;1377398;1721338;2065278;2409348;2753288;3097228;3441168;6880828;20396158;14595638;14795638;14995638;15195638;15395638;15595638;15795768;14995638;16195768;16395768;18396028;20396158
system.cpu.exec_context.thread_0.statExecutedInstType::SimdMult;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdMultAcc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdShift;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268;268
system.cpu.exec_context.thread_0.statExecutedInstType::SimdShiftAcc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdDiv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdSqrt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatAdd;1336861680;2577832880;3818804080;5059775280;6300746480;7541717680;8830634120;10071605320;11312576520;12553547720;25059150200;37516807440;1336861680;2577832880;3818804080;5059775280;6300746480;7541717680;8830634120;10071605320;11312576520;12553547720;25059150200;1336861680;2577832880;3818804080;5059775280;6300746480;7541717680;8830634120;10071605320;11312576520;12553547720;25059150200;37516807440;1336861680;2577832880;3818804080;5059775280;6300746480;7541717680;8830634120;3818804080;11312576520;12553547720;25059150200;37516807440
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatAlu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatCmp;8406240;8406240;8406240;8406240;8406240;8406240;12609360;12609360;12609360;12609360;21015600;25218720;8406240;8406240;8406240;8406240;8406240;8406240;12609360;12609360;12609360;12609360;21015600;8406240;8406240;8406240;8406240;8406240;8406240;12609360;12609360;12609360;12609360;21015600;25218720;8406240;8406240;8406240;8406240;8406240;8406240;12609360;8406240;12609360;12609360;21015600;25218720
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatCvt;200026;400026;600026;800026;1000026;1200026;1400038;1600038;1800038;2000038;4000062;6000074;200026;400026;600026;800026;1000026;1200026;1400038;1600038;1800038;2000038;4000062;200026;400026;600026;800026;1000026;1200026;1400038;1600038;1800038;2000038;4000062;6000074;200026;400026;600026;800026;1000026;1200026;1400038;600026;1800038;2000038;4000062;6000074
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatDiv;26449920;51296720;76143520;100990320;125837120;150683920;176332280;201179080;226025880;250872680;500943800;750213360;26449920;51296720;76143520;100990320;125837120;150683920;176332280;201179080;226025880;250872680;500943800;26449920;51296720;76143520;100990320;125837120;150683920;176332280;201179080;226025880;250872680;500943800;750213360;26449920;51296720;76143520;100990320;125837120;150683920;176332280;76143520;226025880;250872680;500943800;750213360
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatMisc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatMult;752147680;1497882880;2243618080;2989353280;3735088480;4480823680;5229765120;5975500320;6721235520;7466970720;14930735200;22391293440;752147680;1497882880;2243618080;2989353280;3735088480;4480823680;5229765120;5975500320;6721235520;7466970720;14930735200;752147680;1497882880;2243618080;2989353280;3735088480;4480823680;5229765120;5975500320;6721235520;7466970720;14930735200;22391293440;752147680;1497882880;2243618080;2989353280;3735088480;4480823680;5229765120;2243618080;6721235520;7466970720;14930735200;22391293440
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatMultAcc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatSqrt;4;4;4;4;4;4;6;6;6;6;10;12;4;4;4;4;4;4;6;6;6;6;10;4;4;4;4;4;4;6;6;6;6;10;12;4;4;4;4;4;4;6;4;6;6;10;12
system.cpu.exec_context.thread_0.statExecutedInstType::SimdReduceAdd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdReduceAlu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdReduceCmp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatReduceAdd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatReduceCmp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdAes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdAesMix;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdSha1Hash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdSha1Hash2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdSha256Hash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdSha256Hash2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdShaSigma2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdShaSigma3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::SimdPredAlu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::MemRead;51943431;64943517;77943628;90943728;103943812;116943921;131247812;144247917;157248022;170248118;302856764;434161570;37821202;50821569;63821168;76821615;89821534;102822054;117125625;130125390;143125636;156125888;288734113;39085256;53488780;67892130;82295627;96699217;111101472;126808496;141209488;155611641;170015547;316633881;562510066;180291927;193292013;206292124;219292224;232292308;245292417;259596308;206292124;285596518;298596614;431205260;562510066
system.cpu.exec_context.thread_0.statExecutedInstType::MemWrite;24285270;24285318;24285369;24285421;24285467;24285516;24287746;24287797;24287848;24287900;24292776;24295459;14414293;14414535;14414238;14414528;14414464;14414767;14416807;14416608;14416763;14416909;14421498;15296930;16276873;17256715;18236651;19216651;20195709;21177621;22155830;23134783;24114987;33901838;114005029;113994840;113994888;113994939;113994991;113995037;113995086;113997316;113994939;113997418;113997470;114002346;114005029
system.cpu.exec_context.thread_0.statExecutedInstType::FloatMemRead;1055112406;2035116476;3015120546;3995124616;4975128686;5955132756;6972446260;7952450330;8932454400;9912458470;19787118038;29624468172;1054630078;2034634148;3014638218;3994642288;4974646358;5954650428;6971963932;7951968002;8931972072;9911976142;19786635710;1054673926;2034726716;3014779506;3994832296;4974885086;5954937876;6972300100;7952352890;8932405680;9912458470;19787605238;29628852972;1059497206;2039501276;3019505346;3999509416;4979513486;5959517556;6976831060;3019505346;8936839200;9916843270;19791502838;29628852972
system.cpu.exec_context.thread_0.statExecutedInstType::FloatMemWrite;644018593;1215542593;1787066593;2358590593;2930114593;3501638593;4083865742;4655389742;5226913742;5798437742;11535084040;17261027189;643855243;1215379243;1786903243;2358427243;2929951243;3501475243;4083702392;4655226392;5226750392;5798274392;11534920690;643870093;1215410593;1786951093;2358491593;2930032093;3501572593;4083816242;4655356742;5226897242;5798437742;11535249040;17262512189;645503593;1217027593;1788551593;2360075593;2931599593;3503123593;4085350742;1788551593;5228398742;5799922742;11536569040;17262512189
system.cpu.exec_context.thread_0.statExecutedInstType::IprAccess;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::InstPrefetch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.statExecutedInstType::total;6121912834;11518615736;16915318799;22312021790;27708724641;33105427680;38667149185;44063852211;49460555237;54857258255;1,09154E+11;1,63286E+11;6003653614;11400358489;16797057920;22193763358;27590465024;32987171150;38548890199;43945590941;49342294912;54738999118;1,09036E+11;6014275508;11422773538;16831270122;22239767820;27648266211;33056755282;38630269806;44038749901;49447238537;54855739234;1,09271E+11;1,64361E+11;7196752202;12593455104;17990158167;23386861158;28783564009;34180267048;39741988553;17990158167;50535394605;55932097623;1,10229E+11;1,64361E+11
system.cpu.interrupts.clk_domain.clock;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000
system.cpu.mmu.dtb.rdAccesses;1107056565;2100060721;3093064902;4086069072;5079073226;6072077405;7103694809;8096698984;9089703159;10082707324;20089975556;30058630505;1092451317;2085455754;3078459423;4071463940;5064467929;6057472519;7089089603;8082093438;9075097754;10068102075;20075369886;1093759282;2088215666;3082671876;4077128233;5071584683;6066039798;7099109125;8093562977;9088017990;10082474756;20104240576;30191370102;1239796161;2232800317;3225804498;4218808668;5211812822;6204817001;7236434405;3225804498;9222442755;10215446921;20222715153;30191370102
system.cpu.mmu.dtb.wrAccesses;668303868;1239827916;1811351967;2382876019;2954400065;3525924114;4108153494;4679677545;5251201596;5822725648;11559376824;17285322657;658269541;1229793783;1801317486;2372841776;2944365712;3515890015;4098119205;4669643006;5241167161;5812691307;11549342196;659167028;1231687471;1804207813;2376728249;2949248749;3521768307;4104993869;4677512578;5250032031;5822552735;11569150886;17376517227;759498438;1331022486;1902546537;2474070589;3045594635;3617118684;4199348064;1902546537;5342396166;5913920218;11650571394;17376517227
system.cpu.mmu.dtb.rdMisses;718011;1241521;1765031;2288541;2812051;3335561;3909881;4433391;4956901;5480411;10817131;16103041;718023;1241533;1765043;2288553;2812063;3335573;3909893;4433403;4956913;5480423;10817143;718131;1241761;1765391;2289021;2812651;3336281;3910710;4434340;4957970;5481600;10819498;16103041;718011;1241521;1765031;2288541;2812051;3335561;3909881;1765031;4956901;5480411;10817131;16103041
system.cpu.mmu.dtb.wrMisses;1740971;3272521;4804071;6335621;7867171;9398721;10930273;12461823;13993373;15524923;30840427;46155929;1740972;3272522;4804072;6335622;7867172;9398722;10930274;12461824;13993374;15524924;30840428;1740981;3272541;4804101;6335661;7867221;9398781;10930342;12461902;13993462;15525022;30840624;46155929;1740971;3272521;4804071;6335621;7867171;9398721;10930273;4804071;13993373;15524923;30840427;46155929
system.cpu.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED;4,19313E+12;7,93836E+12;1,16836E+13;1,54288E+13;1,9174E+13;2,29193E+13;2,67747E+13;3,05199E+13;3,42651E+13;3,80103E+13;7,56829E+13;1,13245E+14;4,12301E+12;7,86824E+12;1,16135E+13;1,53587E+13;1,91039E+13;2,28491E+13;2,67045E+13;3,04498E+13;3,4195E+13;3,79402E+13;7,56128E+13;4,12931E+12;7,88152E+12;1,16337E+13;1,5386E+13;1,91382E+13;2,28904E+13;2,67528E+13;3,0505E+13;3,42572E+13;3,80094E+13;7,57518E+13;1,13883E+14;4,83045E+12;8,57567E+12;1,23209E+13;1,60661E+13;1,98113E+13;2,35566E+13;2,7412E+13;1,23209E+13;3,49024E+13;3,86476E+13;7,63202E+13;1,13883E+14
system.cpu.mmu.itb.rdAccesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.mmu.itb.wrAccesses;6529343992;12449282567;18369221260;24289159897;30209098453;36129037130;42214199588;48134138254;54054076920;59974015575;1,19504E+11;1,78868E+11;6445310628;12365250700;18285186657;24205127145;30125064816;36045005728;42130166434;48050103312;53970042719;59889982226;1,1942E+11;6452848350;12381156605;18309463879;24237771939;30166080531;36094382008;42187912537;48116207268;54044508272;59972818551;1,19586E+11;1,79632E+11;7293090476;13213029051;19132967744;25052906381;30972844937;36892783614;42977946072;19132967744;54817823404;60737762059;1,20268E+11;1,79632E+11
system.cpu.mmu.itb.rdMisses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.mmu.itb.wrMisses;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259;259
system.cpu.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED;4,19313E+12;7,93836E+12;1,16836E+13;1,54288E+13;1,9174E+13;2,29193E+13;2,67747E+13;3,05199E+13;3,42651E+13;3,80103E+13;7,56829E+13;1,13245E+14;4,12301E+12;7,86824E+12;1,16135E+13;1,53587E+13;1,91039E+13;2,28491E+13;2,67045E+13;3,04498E+13;3,4195E+13;3,79402E+13;7,56128E+13;4,12931E+12;7,88152E+12;1,16337E+13;1,5386E+13;1,91382E+13;2,28904E+13;2,67528E+13;3,0505E+13;3,42572E+13;3,80094E+13;7,57518E+13;1,13883E+14;4,83045E+12;8,57567E+12;1,23209E+13;1,60661E+13;1,98113E+13;2,35566E+13;2,7412E+13;1,23209E+13;3,49024E+13;3,86476E+13;7,63202E+13;1,13883E+14
system.cpu.power_state.pwrStateResidencyTicks::ON;4,19313E+12;7,93836E+12;1,16836E+13;1,54288E+13;1,9174E+13;2,29193E+13;2,67747E+13;3,05199E+13;3,42651E+13;3,80103E+13;7,56829E+13;1,13245E+14;4,12301E+12;7,86824E+12;1,16135E+13;1,53587E+13;1,91039E+13;2,28491E+13;2,67045E+13;3,04498E+13;3,4195E+13;3,79402E+13;7,56128E+13;4,12931E+12;7,88152E+12;1,16337E+13;1,5386E+13;1,91382E+13;2,28904E+13;2,67528E+13;3,0505E+13;3,42572E+13;3,80094E+13;7,57518E+13;1,13883E+14;4,83045E+12;8,57567E+12;1,23209E+13;1,60661E+13;1,98113E+13;2,35566E+13;2,7412E+13;1,23209E+13;3,49024E+13;3,86476E+13;7,63202E+13;1,13883E+14
system.cpu.thread_0.numInsts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.thread_0.numOps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.thread_0.numMemRefs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.workload.numSyscalls;6091;6091;6091;6091;6091;6091;6096;6096;6096;6096;6106;6111;448;448;448;448;448;448;453;453;453;453;463;961;1531;2101;2671;3241;3811;4386;4956;5526;6096;11806;57411;57391;57391;57391;57391;57391;57391;57396;57391;57396;57396;57406;57411
system.cpu_clk_domain.clock;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500
system.cpu_voltage_domain.voltage;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
system.mem_ctrls.priorityMinLatency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.priorityMaxLatency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.numReadWriteTurnArounds;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.numWriteReadTurnArounds;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.numStayReadState;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.numStayWriteState;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.readReqs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.writeReqs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.readBursts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.writeBursts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.servicedByWrQ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.mergedWrBursts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.neitherReadNorWriteReqs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.avgRdQLen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.avgWrQLen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.numRdRetry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.numWrRetry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.readPktSize::0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.readPktSize::1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.readPktSize::2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.readPktSize::3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.mem_ctrls.readPktSize::4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
