Features;OoO-N-10;OoO-N-20;OoO-N-30;OoO-N-40;OoO-N-50;OoO-N-60;OoO-N-70;OoO-N-80;OoO-N-90;OoO-N-100;OoO-N-200;OoO-N-300;OoO-S1-10;OoO-S1-20;OoO-S1-30;OoO-S1-40;OoO-S1-50;OoO-S1-60;OoO-S1-70;OoO-S1-80;OoO-S1-90;OoO-S1-100;OoO-S1-200;OoO-S2-10;OoO-S2-20;OoO-S2-30;OoO-S2-40;OoO-S2-50;OoO-S2-60;OoO-S2-70;OoO-S2-80;OoO-S2-90;OoO-S2-100;OoO-S2-200;OoO-S2-300;OoO-S3-10;OoO-S3-20;OoO-S3-30;OoO-S3-40;OoO-S3-50;OoO-S3-60;OoO-S3-70;OoO-S3-80;OoO-S3-90;OoO-S3-100;OoO-S3-200;OoO-S3-300
hostOpRate;3858370;3749097;3741557;3743877;3740732;3735068;3731805;3738963;3729406;3731668;3732997;3749401;3853653;3826136;3801004;3790427;3802892;3804821;3787480;3797652;3786360;3795047;3835882;3823634;3883983;3809285;3783940;3794289;3794710;3796711;3785633;3818831;3796492;3793132;3778394;3188566;3423399;3576850;3622148;3647778;3683213;3673234;3520987;3821586;3711934;3843618;3772203
system.clk_domain.clock;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
system.cpu.numCycles;8386266858;15876714728;23367162799;30857610777;38348058603;45838506647;53549312589;61039760613;68530208637;76020656641;1,51366E+11;2,26491E+11;8246024832;15736475063;23226918806;30717369707;38207816128;45698267767;53409070873;60899516113;68389965290;75880414670;1,51226E+11;8258615899;15763045246;23267472980;30771901991;38276331825;45780750479;53505535364;61009943333;68514361331;76018793877;1,51504E+11;2,27765E+11;9660896094;17151343964;24641792035;32132240013;39622687839;47113135883;54823941825;24641792035;69804837873;77295285877;1,5264E+11;2,27765E+11
system.cpu.numWorkItemsStarted;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.numWorkItemsCompleted;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.numInsts;4264879104;8091072711;11917266396;15743460046;19569653627;23395847299;27331925315;31158118983;34984312651;38810506320;77292211787;1,15664E+11;4202834189;8029028905;11855220550;15681415575;19507608491;23333803890;27269880534;31096072914;34922267115;38748461448;77230165196;4208402225;8040778593;11873154147;15705530324;19537906903;23370278227;27312537820;31144904107;34977275179;38809653039;77353087290;1,16228E+11;4828784420;8654978027;12481171712;16307365362;20133558943;23959752615;27895830631;12481171712;35548217967;39374411636;77856117103;1,16228E+11
system.cpu.exec_context.thread_0.numOps;6121801970;11518504872;16915207935;22311910926;27708613777;33105316816;38667038316;44063741342;49460444368;54857147386;1,09154E+11;1,63286E+11;6003548393;11400253268;16796952699;22193658137;27590359803;32987065929;38548784973;43945485715;49342189686;54738893892;1,09036E+11;6014169774;11422667234;16831163248;22239660376;27648158197;33056646698;38630160647;44038640172;49447128238;54855628365;1,0927E+11;1,64361E+11;7196590038;12593292940;17989996003;23386698994;28783401845;34180104884;39741826384;17989996003;50535232436;55931935454;1,10229E+11;1,64361E+11
system.cpu.exec_context.thread_0.numIntAluAccesses;2403472053;4276788015;6150104138;8023420187;9896736098;11770052197;13716025147;15589341233;17462657319;19335973397;38214448151;57020265608;2290203981;4163521871;6036834442;7910152883;9783467634;11656786765;13602757299;15476071161;17349388167;19222705413;38101177187;2300375738;4184986873;6069596582;7954207383;9838818864;11723421245;13680687309;15565280909;17449882885;19334496627;38325751540;58049737176;3432943621;5306259583;7179575706;9052891755;10926207666;12799523765;14745496715;7179575706;18492128887;20365444965;39243919719;58049737176
system.cpu.exec_context.thread_0.numFpAluAccesses;5410812171;10485927131;15561042091;20636157051;25711272011;30786386971;36001875747;41076990707;46152105667;51227220627;1,02259E+11;1,53151E+11;5406834549;10481949509;15557064469;20632179429;25707294389;30782409349;35997898125;41073013085;46148128045;51223243005;1,02255E+11;5407196151;10482712891;15558229631;20633746371;25709263111;30784779851;36000670407;41076187147;46151703887;51227220627;1,02263E+11;1,53187E+11;5446972371;10522087331;15597202291;20672317251;25747432211;30822547171;36038035947;15597202291;46188265867;51263380827;1,02295E+11;1,53187E+11
system.cpu.exec_context.thread_0.numVecAluAccesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
