Features;IO-N-10;IO-N-20;IO-N-30;IO-N-40;IO-N-50;IO-N-60;IO-N-70;IO-N-80;IO-N-90;IO-N-100;IO-N-200;IO-N-300;IO-N-400;IO-N-500;IO-N-600;IO-N-700;IO-N-800;IO-N-900;IO-N-1000;IO-N-2000;IO-S1-10;IO-S1-20;IO-S1-30;IO-S1-40;IO-S1-50;IO-S1-60;IO-S1-70;IO-S1-80;IO-S1-90;IO-S1-100;IO-S1-200;IO-S1-300;IO-S1-400;IO-S1-500;IO-S1-600;IO-S1-700;IO-S1-800;IO-S1-1000;IO-S1-2000;IO-S2-10;IO-S2-20;IO-S2-30;IO-S2-40;IO-S2-50;IO-S2-60;IO-S2-70;IO-S2-80;IO-S2-90;IO-S2-100;IO-S2-200;IO-S2-300;IO-S2-400;IO-S2-500;IO-S2-600;IO-S2-700;IO-S2-800;IO-S2-900;IO-S2-1000;IO-S2-2000;IO-S3-10;IO-S3-20;IO-S3-30;IO-S3-40;IO-S3-50;IO-S3-60;IO-S3-70;IO-S3-80;IO-S3-90;IO-S3-100;IO-S3-200;IO-S3-300;IO-S3-400;IO-S3-500;IO-S3-600;IO-S3-700;IO-S3-800;IO-S3-900;IO-S3-1000;IO-S3-2000
hostOpRate;4048714;3967663;4037998;4031841;3938347;4031336;4032381;4019148;4017727;3943250;3886142;4015670;4024460;4004989;3994649;4014787;3999070;4008318;4012865;4018371;3987131;4006865;3894290;3916833;4030901;4027658;4020929;4018433;4017205;4007656;4013183;4022603;4010804;4025895;4009413;4001858;4020152;4000713;3981953;4061142;4038221;4028815;4024121;4025244;4016940;4015190;4011387;4020527;3974571;3965681;4002392;4022255;4024317;4024106;4012566;4015600;4013056;4018352;4010598;3335150;3650747;3704919;3677646;3791122;3835213;3858249;3873110;3878857;3869473;3899788;3958971;3956746;3949282;3946055;3955016;3975760;4001135;4004592;4006372
system.clk_domain.clock;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
system.cpu.numCycles;8244627911;15735075781;23225523852;30715971830;38206419656;45696867700;53407673642;60898121666;68388569690;75879017694;1,51224E+11;2,26349E+11;3,01694E+11;3,76819E+11;4,52164E+11;5,27289E+11;6,02634E+11;6,7798E+11;7,53104E+11;1,45441E+12;8246025563;15736475794;23226919537;30717370438;38207816859;45698268498;53409071604;60899516844;68389966021;75880415401;1,51226E+11;2,2635E+11;3,01696E+11;3,7682E+11;4,52166E+11;5,27291E+11;6,02636E+11;7,53106E+11;1,50568E+12;8258616630;15763045977;23267473711;30771902722;38276332556;45780751210;53505536095;61009944064;68514362062;76018794573;1,51504E+11;2,26768E+11;3,02252E+11;3,77516E+11;4,53001E+11;5,28265E+11;6,0375E+11;6,79234E+11;7,54498E+11;1,50846E+12;9660896825;17151344695;24641792766;32132240744;39622688570;47113136614;54823942556;62314390580;69804838604;77295286608;1,5264E+11;2,27765E+11;3,03111E+11;3,78235E+11;4,53581E+11;5,28705E+11;6,04051E+11;6,79396E+11;7,54521E+11;1,50582E+12
system.cpu.numWorkItemsStarted;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.numWorkItemsCompleted;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.numInsts;4202216481;8028410088;11854603773;15680797423;19506991004;23333184676;27269262692;31095456360;34921650028;38747843697;77229549164;1,15601E+11;1,54083E+11;1,92455E+11;2,30937E+11;2,69308E+11;3,0779E+11;3,46272E+11;3,84644E+11;7,41667E+11;4202834517;8029029233;11855220878;15681415903;19507608819;23333804218;27269880862;31096073242;34922267443;38748461776;77230165524;1,15602E+11;1,54084E+11;1,92456E+11;2,30937E+11;2,69309E+11;3,07791E+11;3,84644E+11;7,69023E+11;4208402553;8040778921;11873154475;15705530652;19537907231;23370278555;27312538148;31144904435;34977275507;38809653351;77353087618;1,15786E+11;1,5433E+11;1,92763E+11;2,31307E+11;2,6974E+11;3,08283E+11;3,46827E+11;3,8526E+11;7,70254E+11;4828784748;8654978355;12481172040;16307365690;20133559271;23959752943;27895830959;31722024627;35548218295;39374411964;77856117431;1,16228E+11;1,5471E+11;1,93081E+11;2,31563E+11;2,69935E+11;3,08417E+11;3,46898E+11;3,8527E+11;7,69085E+11
system.cpu.exec_context.thread_0.numOps;6002369992;11399072894;16795775957;22192478948;27589181799;32985884838;38547606338;43944309364;49341012390;54737715408;1,09035E+11;1,63167E+11;2,17464E+11;2,71596E+11;3,25893E+11;3,80025E+11;4,34322E+11;4,88619E+11;5,42751E+11;1,04779E+12;6003549025;11400253900;16796953331;22193658769;27590360435;32987066561;38548785605;43945486347;49342190318;54738894524;1,09036E+11;1,63168E+11;2,17465E+11;2,71597E+11;3,25894E+11;3,80026E+11;4,34323E+11;5,42752E+11;1,08506E+12;6014170406;11422667866;16831163880;22239661008;27648158829;33056647330;38630161279;44038640804;49447128870;54855628968;1,0927E+11;1,6352E+11;2,17935E+11;2,72184E+11;3,26599E+11;3,80849E+11;4,35263E+11;4,89678E+11;5,43927E+11;1,08741E+12;7196590670;12593293572;17989996635;23386699626;28783402477;34180105516;39741827016;45138530042;50535233068;55931936086;1,10229E+11;1,64361E+11;2,18658E+11;2,7279E+11;3,27087E+11;3,81219E+11;4,35516E+11;4,89813E+11;5,43945E+11;1,08518E+12
system.cpu.exec_context.thread_0.numIntAluAccesses;2289075506;4162391468;6035707591;7909023640;9782339551;11655655650;13601628600;15474944686;17348260772;19221576850;38100051604;56905869061;75784343620;94590161169;1,13469E+11;1,32274E+11;1,51153E+11;1,70031E+11;1,88837E+11;3,68656E+11;2290204608;4163522498;6036835069;7910153510;9783468261;11656787392;13602757926;15476071788;17349388794;19222706040;38101177814;56906996822;75785471304;94591287920;1,1347E+11;1,32276E+11;1,51154E+11;1,88838E+11;3,77334E+11;2300376365;4184987500;6069597209;7954208010;9838819491;11723421872;13680687936;15565281536;17449883512;19334497225;38325752167;57244109057;76235183006;95153600448;1,14145E+11;1,33063E+11;1,52054E+11;1,71045E+11;1,89964E+11;3,79584E+11;3432944248;5306260210;7179576333;9052892382;10926208293;12799524392;14745497342;16618813428;18492129514;20365445592;39243920346;58049737803;76928212362;95734029911;1,14613E+11;1,33418E+11;1,52297E+11;1,71175E+11;1,89981E+11;3,77447E+11
system.cpu.exec_context.thread_0.numFpAluAccesses;5406794371;10481909331;15557024291;20632139251;25707254211;30782369171;35997857947;41072972907;46148087867;51223202827;1,02255E+11;1,53147E+11;2,04179E+11;2,5507E+11;3,06102E+11;3,56993E+11;4,08025E+11;4,59057E+11;5,09949E+11;9,82638E+11;5406834549;10481949509;15557064469;20632179429;25707294389;30782409349;35997898125;41073013085;46148128045;51223243005;1,02255E+11;1,53147E+11;2,04179E+11;2,5507E+11;3,06102E+11;3,56994E+11;4,08025E+11;5,09949E+11;1,01971E+12;5407196151;10482712891;15558229631;20633746371;25709263111;30784779851;36000670407;41076187147;46151703887;51227220627;1,02263E+11;1,53159E+11;2,04195E+11;2,5509E+11;3,06126E+11;3,57022E+11;4,08058E+11;4,59093E+11;5,09989E+11;1,01979E+12;5446972371;10522087331;15597202291;20672317251;25747432211;30822547171;36038035947;41113150907;46188265867;51263380827;1,02295E+11;1,53187E+11;2,04219E+11;2,5511E+11;3,06142E+11;3,57034E+11;4,08066E+11;4,59097E+11;5,09989E+11;1,01971E+12
system.cpu.exec_context.thread_0.numVecAluAccesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
