selected_order,raw_feature_index,feature_name
101,350,system.mem_ctrls.dram.rank1.totalEnergy
102,351,system.mem_ctrls.dram.rank1.averagePower
103,353,system.mem_ctrls.dram.rank1.pwrStateTime::IDLE
104,359,system.mem_ctrls.power_state.pwrStateResidencyTicks::UNDEFINED
105,360,system.membus.transDist::ReadReq
106,361,system.membus.transDist::ReadResp
107,362,system.membus.transDist::WriteReq
108,363,system.membus.transDist::WriteResp
109,364,system.membus.transDist::LockedRMWReadReq
110,365,system.membus.transDist::LockedRMWReadResp
111,366,system.membus.transDist::LockedRMWWriteReq
112,367,system.membus.transDist::LockedRMWWriteResp
113,368,system.membus.pktCount_system.cpu.icache_port::system.mem_ctrls.port
114,369,system.membus.pktCount_system.cpu.icache_port::total
115,370,system.membus.pktCount_system.cpu.dcache_port::system.mem_ctrls.port
116,371,system.membus.pktCount_system.cpu.dcache_port::total
117,372,system.membus.pktCount::total
118,373,system.membus.pktSize_system.cpu.icache_port::system.mem_ctrls.port
119,374,system.membus.pktSize_system.cpu.icache_port::total
120,375,system.membus.pktSize_system.cpu.dcache_port::system.mem_ctrls.port
121,376,system.membus.pktSize_system.cpu.dcache_port::total
122,377,system.membus.pktSize::total
123,380,system.membus.snoopFanout::samples
124,384,system.membus.snoopFanout::0
125,389,system.membus.snoopFanout::total
126,390,system.membus.power_state.pwrStateResidencyTicks::UNDEFINED
127,397,system.voltage_domain.voltage
